UNITID,TUITIONFEE_IN,TUITIONFEE_OUT,AVGFACSAL,INEXPFTE,ENDOWBEGIN,ENDOWEND
482662,16888,16888,6240,4665,NA,NA
482671,16888,16888,5786,2921,NA,NA
482680,4551,13228,5566,4906,26434620,27055895
482699,3690,11098,4582,3590,286240,286490
482705,NA,NA,6497,6087,698764846,806821927
482954,12483,12483,3806,3003,NA,NA
482963,NA,NA,NA,1185,NA,NA
482981,NA,NA,NA,694,NA,NA
482990,15223,15223,3417,2998,NA,NA
483009,NA,NA,NA,709,NA,NA
483036,NA,NA,7329,6104,882692,998460
483045,2568,4608,4303,4188,NA,NA
483054,NA,NA,NA,1286,NA,NA
483106,NA,NA,NA,5187,NA,NA
483124,8503,15137,7292,9752,66334680,75099960
483212,3635,6701,4069,4910,422912,537758
483230,NA,NA,NA,4613,NA,NA
483258,NA,NA,NA,1471,NA,NA
483276,NA,NA,NA,4425,NA,NA
483285,6550,6550,1000,735077,NA,NA
483319,13932,13932,2958,NA,NA,NA
483328,NA,NA,NA,3857,NA,NA
483337,NA,NA,NA,6676,NA,NA
483346,NA,NA,NA,1147,NA,NA
483355,NA,NA,NA,2653,NA,NA
483364,NA,NA,NA,2599,NA,NA
483373,NA,NA,NA,4721,NA,NA
483382,NA,NA,NA,6322,NA,NA
483425,NA,NA,NA,2501,NA,NA
483443,NA,NA,NA,14996,NA,NA
483470,NA,NA,NA,1006,NA,NA
483504,19968,19968,NA,5675,NA,NA
483513,NA,NA,NA,6494,NA,NA
483522,3750,3750,1333,11510,NA,NA
483568,NA,NA,NA,4720,NA,NA
483595,NA,NA,NA,NA,NA,NA
483610,NA,NA,NA,4782,NA,NA
483629,NA,NA,NA,1847,NA,NA
483638,NA,NA,NA,1028,NA,NA
483647,21000,21000,NA,24175,NA,NA
483665,NA,NA,NA,4604,NA,NA
483674,NA,NA,NA,8471,NA,NA
483683,NA,NA,NA,13037,NA,NA
483692,NA,NA,NA,5726,NA,NA
483708,NA,NA,NA,7186,NA,NA
483717,NA,NA,NA,1779,NA,NA
483726,NA,NA,NA,3338,NA,NA
483735,NA,NA,NA,581,NA,NA
483744,NA,NA,NA,208,NA,NA
483753,NA,NA,NA,716,NA,NA
483762,35500,35500,5392,11132,NA,NA
483771,NA,NA,NA,5521,NA,NA
483780,13820,13820,4167,16783,NA,NA
483799,NA,NA,NA,5147,NA,NA
483805,NA,NA,NA,3433,NA,NA
483814,NA,NA,7417,3368,NA,NA
483823,NA,NA,NA,2380,NA,NA
483841,NA,NA,NA,783,NA,NA
483850,NA,NA,NA,10960,NA,NA
483869,2550,2550,NA,3438,NA,NA
483878,NA,NA,NA,11310,NA,NA
